School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
Swinburne Senior Secondary College,505 Burwood Road,Hawthorn,3122,111,Boroondara (C),145.04082,-37.82314
Victorian College Of The Arts Secondary School,57 Miles Street,Southbank,3006,460,Melbourne (C),144.96477,-37.82823
Brauer Secondary College,Caramut Road,Warrnambool,3280,673,Warrnambool (C),142.45892,-38.35871
Wyndham Central Secondary College,101 Shaws Road,Werribee,3030,726,Wyndham (C),144.65385,-37.88893
Weeroona College Bendigo,383 Napier Street,Bendigo,3550,262,Greater Bendigo (C),144.29798,-36.73893
Whittlesea Secondary College,55 Laurel Street,Whittlesea,3757,707,Whittlesea (C),145.12018,-37.51505
Alexandra Secondary College,Downey Street,Alexandra,3714,562,Murrindindi (S),145.70148,-37.19449
Auburn High School,26 Burgess Street,Hawthorn East,3123,111,Boroondara (C),145.04507,-37.83988
Ballarat High School,1726 Sturt Street,LAKE GARDENS,3355,57,Ballarat (C),143.81821,-37.55452
Balwyn High School,Buchanan Avenue,Balwyn North,3104,111,Boroondara (C),145.07677,-37.79786
Bayswater Secondary College,14 Orchard Road,Bayswater,3153,367,Knox (C),145.262,-37.83903
Beaufort Secondary College,1/37 Park Road,Beaufort,3373,599,Pyrenees (S),143.38249,-37.43884
Beaumaris Secondary College,117 - 136 Reserve Road,Beaumaris,3193,91,Bayside (C),145.03408,-37.9784
Beechworth Secondary College,85 Balaclava Road,Beechworth,3747,335,Indigo (S),146.69076,-36.34722
Belmont High School,12-36 Rotherham Street,Belmont,3216,275,Greater Geelong (C),144.33056,-38.17565
Bendigo Senior Secondary College,40 Gaol Road,Bendigo,3550,262,Greater Bendigo (C),144.27928,-36.7553
Berwick Secondary College,Manuka Road,Berwick,3806,161,Casey (C),145.36544,-38.0314
Blackburn High School,60 Springfield Road,Blackburn,3130,698,Whitehorse (C),145.14989,-37.81037
Outdoor School,1 Black Possum Road,Bogong,3699,11,Alpine (S),147.22537,-36.80408
Box Hill High School,1180 Whitehorse Road,Box Hill,3128,698,Whitehorse (C),145.13721,-37.82
Braybrook College,352 Ballarat Road,Braybrook,3019,433,Maribyrnong (C),144.84754,-37.77826
Brentwood Secondary College,65-71 Watsons Road,Glen Waverley,3150,497,Monash (C),145.16634,-37.89951
Brighton Secondary College,120 Marriage Road,Brighton East,3187,91,Bayside (C),145.01912,-37.92016
Broadford Secondary College,2-12 Pinniger Street,Broadford,3658,485,Mitchell (S),145.04003,-37.20438
Buckley Park College,59-99 Cooper Street,Essendon,3040,506,Moonee Valley (C),144.89775,-37.74712
Camberwell High School,Prospect Hill Road,Canterbury,3126,111,Boroondara (C),145.07282,-37.83015
Canterbury Girls Secondary College,16 Mangarra Road,Canterbury,3126,111,Boroondara (C),145.0691,-37.82029
Casterton Secondary College,27 Mt Gambier Road,Casterton,3311,241,Glenelg (S),141.38749,-37.5888
Cheltenham Secondary College,73-75 Bernard Street,Cheltenham,3192,343,Kingston (C),145.06868,-37.95376
Cobram Secondary College,25-47 Warkil Street,Cobram,3644,490,Moira (S),145.65412,-35.9136
Cohuna Secondary College,6415 Murray Valley Highway,Cohuna,3568,225,Gannawarra (S),144.22642,-35.8135
Cranbourne Secondary College,Stawell Street,Cranbourne,3977,161,Casey (C),145.28614,-38.10759
Cranbourne West Secondary College,80 Strathlea Drive,Cranbourne West,3977,161,Casey (C),145.24651,-38.10672
Croydon Community School,61-77 Croydon Road,Croydon,3136,441,Maroondah (C),145.28126,-37.78935
Mount Alexander 7-12 College,78 Wellington Street,Flemington,3031,506,Moonee Valley (C),144.93324,-37.78215
Dimboola Memorial Secondary College,66 Ellerman Street,Dimboola,3414,298,Hindmarsh (S),142.03441,-36.44984
East Doncaster Secondary College,20 George Street,Doncaster East,3109,421,Manningham (C),145.15856,-37.78213
