,,,Personal income in Australia - year ended 30 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gross capital gains - year ended 30 June,,,,Selected Government pensions and allowances - at 30 June,,,Total personal income (weekly) - Persons aged 15 years and over - Census,,,,,,,,Equivalised total household income (weekly) - Census,,,,,,,,
Code,Label,Year,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%)
40700,Burnside,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6448,467.2,5220,72456,6,74,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40910,Campbelltown (SA),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,691,-,-,-,-,-,-,-,-
40910,Campbelltown (SA),2016,24200,40,1304,47546,53885,72.1,3954,46,89.6,12526,22653,7.7,21874,47,8,183,6015,10,1372,68,41.1,26238,29926,3,28610,44,1541.5,45479,53879,4.77,1.81,0.38,0.16,0.439,6.1,17.9,28.8,26,26.2,26.5,21.3,-,-,-,-,-,-,-,32.4,24.4,22.2,4,1.5,9.6,0.5,5.4,782,24.5,31.4,28,4.6,1.2,1.7,6.7,2
40910,Campbelltown (SA),2017,24416,40,1338,48409,54802,72.3,4051,46,90.5,12156,22340,7.5,22001,46,168.5,385,7661,16.3,1372,67,43.1,27022,31421,3.1,28942,44,1585.8,46354,54792,4.86,1.82,0.37,0.16,0.44,6.1,17.9,28.7,25.9,26.1,26.2,21.8,-,-,-,-,7,190,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40910,Campbelltown (SA),2018,25039,40,1404.1,49608,56076,72.8,4268,45,97,12305,22716,7.6,22447,46,173.2,335,7714,16,1304,69,42.3,28741,32476,2.9,29910,44,1669.3,47217,55810,4.96,1.82,0.37,0.15,0.443,6,17.8,28.8,26.5,26.1,25.8,21.6,-,-,-,-,-,162,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40910,Campbelltown (SA),2019,25692,39,1485.9,51557,57836,72.8,4461,45,100.4,12104,22508,7.6,23128,46,183.6,284,7939,15.8,1253,70,44.3,29921,35319,2.9,30659,44,1764.3,49180,57545,4.86,1.8,0.37,0.15,0.44,6.1,17.9,28.7,26.5,25.8,26.3,21.4,-,-,-,-,6,155,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40910,Campbelltown (SA),2020,26367,39,1563.2,52502,59287,73.4,4573,44,99.7,11161,21805,7.5,22994,45,183.4,237,7978,15.5,1195,71,41.2,31115,34499,2.8,31394,43,1839.8,49700,58603,4.87,1.81,0.37,0.15,0.44,5.9,17.7,28.6,26.2,26.3,26.1,21.3,2454,69.2,2473,28198,-,153,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40910,Campbelltown (SA),2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3366,71.5,2746,21238,-,133,46,26.4,23.6,27.7,6.8,3,8,0.6,4.1,988,18,28.2,35.2,9,2.5,1.6,4,1.4
40910,Campbelltown (SA),2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3961,129.9,2725,32802,8,129,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41010,Ceduna,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,714,-,-,-,-,-,-,-,-
41010,Ceduna,2016,1990,40,91,41146,45733,77,444,50,14.5,17411,32738,11.9,1334,45,386.6,307,8446,14.2,45,60,0.9,13323,20436,0.9,2129,44,110.4,45662,51844,4.9,1.74,0.36,0.16,0.432,5.3,16.8,27.5,25.9,25.9,28.1,20.1,-,-,-,-,-,-,-,25.1,23.2,24.9,2.6,1.8,5.4,0.4,16.5,817,21.1,26.9,27,3.8,1.8,1,10.6,7.2
41010,Ceduna,2017,1875,40,88,42515,46958,75.3,446,50,21.4,22683,47956,13.6,1281,48,8.8,185,6834,9.7,56,59,1.2,10918,20671,1.2,2101,44,116.7,48000,55554,4.47,1.74,0.39,0.16,0.431,6.7,18.1,28.4,24.1,26.5,27.9,21.5,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41010,Ceduna,2018,1926,40,90.4,42447,46929,75.8,435,52,14.4,18964,33195,12,1251,49,10.4,287,8308,10.8,50,59,1.3,13597,25701,1.1,2078,44,113.1,48215,54433,4.58,1.72,0.37,0.17,0.429,5.4,16.7,27.2,24.3,27,28.7,20,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41010,Ceduna,2019,1736,39,88.1,47181,50735,75.7,428,50,12.4,14773,28859,11,1308,48,12.2,173,9320,11.3,61,58,1.3,9979,21168,1.4,1958,44,111.8,51516,57101,4.1,1.69,0.41,0.16,0.418,5.5,16.4,26.7,23.1,26.8,29,21.1,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41010,Ceduna,2020,1898,40,97.6,46317,51436,76,430,51,9.6,11240,22249,9.8,1316,49,11.7,178,8881,12.9,44,59,1.3,10832,30374,1.2,2089,45,116.1,49220,55591,4.57,1.78,0.39,0.15,0.442,5.8,16.6,27.2,25.3,27.9,27,19.9,86,3,3750,34856,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41010,Ceduna,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,2.3,3378,15546,-,10,-,25.6,22.7,27.7,5.3,2,4.3,1.4,11.1,928,20,24.8,30.6,7.6,2,2.3,7.7,4.9
41010,Ceduna,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,7.3,3914,38789,-,10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41060,Charles Sturt,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,685,-,-,-,-,-,-,-,-
41060,Charles Sturt,2016,56348,39,3098.4,48537,54988,75.3,8336,46,190.8,11748,22883,7,45780,51,42.4,442,10309,17.6,2919,63,89.8,24866,30766,2.9,63332,43,3608.5,47928,56978,4.39,1.75,0.4,0.18,0.438,7,19.1,29.7,23.7,26.1,27.8,22.4,-,-,-,-,-,-,-,32.2,24.6,22.3,3.9,1.9,7.7,0.5,6.8,794,24.8,29.9,28.1,5.1,1.6,1.3,6.8,2.4
41060,Charles Sturt,2017,57605,39,3237.5,49412,56201,75.9,8517,45,192.6,11071,22613,6.7,46643,46,396.8,272,8506,14,2891,63,92.1,25601,31871,2.8,65169,43,3775.7,48563,57937,4.45,1.76,0.4,0.17,0.438,7,19,29.7,23.7,26.1,27.6,22.6,-,-,-,-,23,631,283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41060,Charles Sturt,2018,59109,39,3436,51396,58130,76.4,8789,45,123.2,11274,14021,6.5,47809,46,428,247,8953,13.8,2742,65,92.2,27998,33640,2.7,67353,43,3939.9,50223,58496,4.46,1.75,0.39,0.17,0.473,7.4,19.5,30.3,23.7,25.9,27.7,22.8,-,-,-,-,20,594,254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41060,Charles Sturt,2019,60611,39,3633.9,53381,59954,76.3,9335,44,95.9,10984,10269,6.7,49307,45,439.2,214,8907,13.7,2598,66,93,29976,35806,2.6,69148,42,4111.2,52055,59455,4.33,1.74,0.4,0.18,0.466,6.9,18.9,29.7,23.3,26,27.8,22.9,-,-,-,-,18,556,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41060,Charles Sturt,2020,61903,38,3843.9,54666,62095,76.5,9552,43,-50.9,11046,-5329,6.9,49057,45,450.6,176,9186,13.4,2591,66,94.4,31171,36417,2.6,70681,42,4179.8,52914,59136,4.38,1.76,0.4,0.17,0.543,7.5,20.1,31.4,23.3,26.1,27.5,23,5072,173.8,2526,34275,16,528,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41060,Charles Sturt,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7209,180.2,2500,24998,10,471,147,26.3,23.4,28.3,7,3.4,6.5,0.7,4.6,1021,18.1,26.5,35.2,9.3,3.5,1.5,4.4,1.5
41060,Charles Sturt,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8168,376.5,3031,46096,9,469,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41140,Clare and Gilbert Valleys,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,639,-,-,-,-,-,-,-,-
41140,Clare and Gilbert Valleys,2016,4163,43,196.1,41315,47103,63.8,1601,54,41.5,10637,25906,15.4,4115,49,7.2,599,9371,18,217,64,6.2,21453,28653,2.5,5348,49,279,40973,52174,5.05,1.92,0.38,0.12,0.49,7.3,20.9,32.5,28.4,28.7,23.5,19.4,-,-,-,-,-,-,-,32.5,28.2,20.3,2.9,1.7,5.7,0.4,8.4,738,26,34.7,24,3.3,1.8,0.9,7.3,1.9
41140,Clare and Gilbert Valleys,2017,4061,44,193.5,41503,47643,64.2,1540,55,38.8,9635,25204,15,4014,52,41.4,412,10316,17.2,227,64,7.7,25206,34046,2.8,5259,49,274.5,41282,52201,4.94,1.92,0.39,0.13,0.481,7.1,20.7,32.1,28,28.9,24,19,-,-,-,-,-,81,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41140,Clare and Gilbert Valleys,2018,4189,43,203.3,42430,48534,65.3,1472,55,40.2,12000,27315,14.4,3986,52,40.8,383,10230,17.1,205,65,5.7,23404,27964,2.5,5325,49,280,43166,52580,5.14,1.88,0.36,0.12,0.469,6.1,19.3,30.8,28.2,28.5,24.7,18.6,-,-,-,-,-,79,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41140,Clare and Gilbert Valleys,2019,4051,43,207.4,45650,51193,66.7,1304,55,31.1,10701,23847,12.8,3825,52,38.9,311,10180,17,202,65,6.1,22308,30288,2.5,5122,49,276.4,45333,53970,5.23,1.82,0.35,0.12,0.469,6.5,19.2,30.5,28.3,27.4,25.8,18.5,-,-,-,-,-,64,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41140,Clare and Gilbert Valleys,2020,4221,43,222,46853,52597,66,1428,55,31.8,10559,22297,13.8,3889,52,41.9,251,10781,16.9,203,64,6.2,23995,30303,2.5,5371,49,293.6,45098,54660,5.32,1.9,0.36,0.12,0.481,6.6,19.5,31,29.4,28,23.9,18.8,416,20.9,2408,50143,4,55,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41140,Clare and Gilbert Valleys,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,534,15.9,4406,29819,-,55,22,28.4,26.3,24.2,5.1,2.6,5.1,0.7,7.4,865,20.6,31.6,29.4,5.6,3,1.5,6.5,1.9
41140,Clare and Gilbert Valleys,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,624,24.3,3788,38889,-,58,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41190,Cleve,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648,-,-,-,-,-,-,-,-
41190,Cleve,2016,666,40,27.8,36909,41674,54,377,49,17.8,31397,47276,26.6,764,44,1.7,102,4050,8.1,22,60,0.5,11234,24211,0.9,937,48,51.7,47952,55213,6.08,1.81,0.3,0.08,0.491,5.2,19.5,31.2,27.2,22.7,26.5,23.6,-,-,-,-,-,-,-,32.4,26.7,20.7,3.3,1.7,5,0.5,9.5,717,27.1,34.8,21.6,4.1,2.2,1.5,5.8,3.4
41190,Cleve,2017,677,41,29.2,40871,43187,52.6,442,50,25.7,31320,58123,29.4,805,50,8,606,9908,16.6,26,59,0.5,3925,21148,0.9,1011,48,62.3,47930,61666,6.39,1.97,0.31,0.11,0.511,6.3,21,33.7,27,23.5,23,26.5,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41190,Cleve,2018,710,40,31.1,38032,43746,56.1,428,51,10.4,11674,24400,20.8,823,51,8,679,9662,21.8,16,59,0.4,16850,23782,0.8,1045,48,48.7,39306,46572,8.29,1.9,0.23,0.02,0.603,7.3,23,35.3,33,26.2,24,16.8,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41190,Cleve,2019,663,38,30.6,42256,46110,57.2,322,51,7.8,13068,24130,19.2,738,49,7.1,273,9664,20.1,19,58,0.5,17542,24329,1.2,921,47,44.6,43117,48464,6.28,1.86,0.3,0.06,0.555,6.1,20,31.9,31.2,26.9,24.4,17.5,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41190,Cleve,2020,669,39,31.7,42598,47454,54.6,380,52,-0.1,3540,-384,17.2,787,51,8,345,10188,26,27,59,0.6,9496,22757,0.9,1004,48,39,36874,38798,13.51,1.99,0.15,-,0.723,5.5,20.7,35.1,38.2,24.3,24,13.6,79,3.9,660,49306,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41190,Cleve,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,2.6,1186,32578,-,-,-,29,25.2,23.7,3.6,1.6,5.3,1.9,10.1,790,26.5,31.4,24.1,3.6,2.5,2.7,7.4,2.2
41190,Cleve,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,7.5,2116,64458,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41330,Coober Pedy,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,512,-,-,-,-,-,-,-,-
41330,Coober Pedy,2016,650,39,30.6,42987,47103,77.3,131,53,2.4,11595,18276,12.4,413,53,38.8,318,8068,16.5,22,54,0.4,10923,18408,1.9,678,42,33.3,44762,49045,4.1,1.7,0.41,0.16,0.397,3.3,13.5,24.1,25.3,27.2,30.9,16.7,-,-,-,-,-,-,-,32,20.1,16.9,1.8,0.7,6.7,0.7,21.2,599,34.4,24.2,20.5,1.9,0.6,3.7,6.2,8.6
41330,Coober Pedy,2017,645,39,31.3,43620,48521,74.4,171,54,3.1,11152,18025,14.6,435,46,2,91,4577,8.6,23,58,0.5,10371,21203,1.6,741,45,36.1,42662,48663,6.17,1.83,0.3,0.12,0.44,4.2,15.7,26.7,29.7,25.8,25.5,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41330,Coober Pedy,2018,723,39,32.4,42380,44799,76.7,171,55,3.1,11362,18186,11.8,418,47,1.8,66,4406,8.6,24,55,0.4,11963,17293,2.1,751,44,35.4,44081,47112,5.23,1.65,0.32,0.12,0.422,4.1,15.1,26,29.1,28.2,28.6,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41330,Coober Pedy,2019,599,39,28.8,44825,48103,81,113,53,2.3,14940,20597,10.8,325,43,1.1,57,3255,6.6,15,56,0.4,8771,29341,1.3,619,41,31.1,46754,50309,4.64,1.65,0.36,0.17,0.395,4,14.2,24.7,27.5,27.7,29.7,15.1,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41330,Coober Pedy,2020,685,40,34.4,46835,50193,77,167,55,1.9,6919,11619,11.9,357,46,1.8,68,4969,7.8,26,58,0.8,18305,29117,2.6,737,43,36.6,44155,49624,4.35,1.74,0.4,0.15,0.424,4,15,26.1,29,29,27.2,14.7,21,1.3,12281,60450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41330,Coober Pedy,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,0.2,1000,6294,-,-,-,32.5,18.5,16,2.9,1.1,5.1,1.1,22.1,571,35.9,21.1,20,4.7,1,3,6.5,7.1
41330,Coober Pedy,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,0.6,2352,22801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41560,Copper Coast,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,516,-,-,-,-,-,-,-,-
41560,Copper Coast,2016,5299,43,237.9,38667,44902,64.7,1509,54,46.8,17573,31022,14.3,4815,49,3,822,8153,16.5,380,62,10.9,21578,28608,3.9,6711,48,324.4,39174,48339,5.34,1.87,0.35,0.13,0.469,6.7,19.6,31.1,29.4,30.2,23.7,16.6,-,-,-,-,-,-,-,42.1,24.8,14.1,2.2,0.9,5.2,0.3,10.4,586,36.5,31.9,16.5,2.5,0.9,0.9,6.7,4.1
41560,Copper Coast,2017,5423,43,247.6,39623,45659,65.3,1495,54,63.2,20221,42308,13.9,4923,53,39.7,284,8073,16.3,393,62,11.6,21060,29520,4,6870,49,353.2,41103,51418,5.4,1.88,0.35,0.12,0.473,7,20.7,32,29.3,28.9,23.8,18,-,-,-,-,-,142,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41560,Copper Coast,2018,5442,43,254.4,40735,46747,66.3,1424,55,37.4,16606,26293,12.1,4855,53,40.9,277,8422,17.2,374,61,10.6,21535,28423,3.9,6938,49,333.8,40118,48107,5.54,1.86,0.34,0.12,0.467,6,18.6,30,30.3,30,23.6,16.1,-,-,-,-,-,134,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41560,Copper Coast,2019,5389,43,262.5,42684,48704,68.8,1243,55,29.2,14939,23467,10.7,4726,53,38.6,200,8158,16,356,62,10.8,23919,30396,3.9,6774,49,333.8,41539,49281,5.26,1.85,0.35,0.13,0.454,5.6,18,29.4,30.8,30.4,23.4,15.4,-,-,-,-,-,127,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41560,Copper Coast,2020,5480,43,276.2,43836,50410,67.6,1326,56,32.2,13800,24292,11.3,4667,54,37.2,219,7962,16.7,348,62,11.6,26009,33456,3.8,6981,49,348,41911,49856,5.38,1.85,0.34,0.12,0.46,5.6,18,29.4,30.5,30.8,23.2,15.5,461,7.9,2033,17082,-,127,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41560,Copper Coast,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,644,19,3279,29452,-,121,43,36.7,26.1,17.8,3.5,1.5,4.9,0.7,8.9,676,29.1,33.2,22,3.6,1.6,1.5,5.7,3.2
41560,Copper Coast,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,830,33.3,4769,40159,-,114,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41750,Elliston,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,572,-,-,-,-,-,-,-,-
41750,Elliston,2016,359,39,13.9,30962,38785,51.2,216,52,9.5,24506,44083,29.1,372,50,3.1,199,4675,11.3,-,-,-,-,-,-,503,47,26.2,43897,52178,8.21,1.92,0.23,0.05,0.529,5,19.9,33.1,29.9,25.5,24.1,20.5,-,-,-,-,-,-,-,36.1,23.8,17.3,3.8,2.5,6.6,1.1,7.2,612,32.1,32.5,17.7,2.9,4.1,0.7,6.2,3.1
41750,Elliston,2017,408,42,16.6,32436,40756,52.6,274,52,13,32285,47278,30.8,452,50,4.3,672,9582,14.7,13,56,0.4,15709,30123,1.6,617,47,34.2,45955,55431,6.27,1.89,0.3,0.08,0.527,7.2,20.6,32.9,28.2,25,22.3,24.5,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41750,Elliston,2018,391,42,16.5,31978,42277,54.9,270,54,5.9,14404,21767,22.7,445,51,4.1,812,9316,21.2,8,57,0.2,10000,19204,0.5,591,48,25.7,35781,43424,8.5,2.19,0.26,0.03,0.652,5.3,21.2,35.4,35.9,25.1,21.5,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41750,Elliston,2019,329,42,13.8,34485,42061,55.3,209,54,11.1,27185,53009,26.9,369,49,2.8,429,7559,14.4,11,65,0.3,17693,23536,1.3,479,49,27.4,44884,57262,6.51,2.02,0.31,0.13,0.526,-,21.5,34.2,30.3,24.4,22.8,22.5,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41750,Elliston,2020,405,41,16.4,32145,40571,50.2,273,53,9.5,27127,34772,27.8,441,51,4.2,845,9515,20.4,18,58,0.2,3697,10320,1,595,49,29.2,40656,49132,6.37,1.97,0.31,0.07,0.511,5.2,18.5,31,34.8,26.8,20.1,18.4,37,0.3,2146,8414,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41750,Elliston,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,5.8,4024,94944,-,-,-,29,27.2,22.1,4.8,1.9,5.6,1.1,8.8,769,24.2,29.5,28.9,2.9,2.1,1.3,7.4,1.8
41750,Elliston,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,2.9,3867,31878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41830,Flinders Ranges,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,615,-,-,-,-,-,-,-,-
41830,Flinders Ranges,2016,783,45,41.7,44181,53312,73,230,53,7.6,10663,32957,12.5,654,50,4.7,329,9481,12.2,40,66,0.9,18181,21570,2.6,888,48,51,47155,57384,5.43,1.92,0.35,0.14,0.461,5.2,18.3,29.6,26.8,24,24.1,25.1,-,-,-,-,-,-,-,36,22.3,19.6,3.2,1.9,5.4,0.5,11.3,661,28.3,27.5,19.9,3.6,1.3,0.7,12.8,5.2
41830,Flinders Ranges,2017,740,46,38.1,45864,51470,70,228,54,9.1,14615,39708,14.3,660,53,3.1,201,4714,12,45,60,1,18641,22707,2.8,888,50,49.4,46600,55677,5.89,1.92,0.33,0.11,0.465,5.4,18.2,29.6,27.5,25,23.3,24.2,-,-,-,-,-,21,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41830,Flinders Ranges,2018,799,45,40.5,42786,50664,71.6,215,54,7.1,12020,33204,11.8,685,52,3.6,179,5294,13,40,66,1.1,24808,27351,2.9,910,50,50.2,46585,55137,5.91,1.87,0.32,0.08,0.46,4.8,17.4,28.9,27.9,25.2,23.9,23,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
